gene,label,pos_ctrl_proteasome,pos_ctrl_ribosome,pos_ctrl_DNA_replication,pos_ctrl_spliceosome,pos_ctrl_behan_2019,pos_ctrl_bagel_v1,pos_ctrl_bagel_v2,neg_ctrl_not_expressed,neg_ctrl_found_context_specific,PRODE_NIE_sgRNA,PRODE_NIE_shRNA,avg_Gene_Effect_sgRNA,avg_Gene_Effect_shRNA,MUFFINN_sum_sgRNA,MUFFINN_sum_shRNA,MUFFINN_max_sgRNA,MUFFINN_max_shRNA,RWR_sgRNA,RWR_shRNA,NIE000,NIE200,NIE400,NIE700,NIE900
RPL21,essential,no,yes,no,no,yes,no,no,no,no,-10.0625497909273,,-2.20293717852721,,9.99900009999e-05,,0.001999800019998,,0,,-9.10256425886601,-8.82509840208618,-9.09091354959278,-8.95553855112321,-9.14487019603187
RPL22,essential,no,yes,no,no,yes,no,no,no,no,-6.60542720580569,-4.66526027288121,-0.570165283394508,0.0318471346095035,0.0317968203179682,0.0662933706629337,0.098990100989901,0.731526847315269,0.0891089108910891,0.287128712871287,-6.31157927277991,-6.56422044510767,-6.55875186024851,-6.77168623421018,-7.29219412491612
RPL23,essential,no,yes,no,no,yes,no,yes,no,no,-12.3746136278759,-10.0038154633551,-2.3559901080803,-1.07094463934855,9.99900009999e-05,0.0002999700029997,0.0025997400259974,0.0082991700829917,0,0,-11.4701123752751,-11.071271071577,-11.3252903925603,-10.9563328482159,-10.4187922045363
RPL23A,essential,no,yes,no,no,yes,yes,no,no,no,-9.57559164856796,-9.65407189339062,-1.75540456402737,-0.993531043062091,9.99900009999e-05,0.0002999700029997,0.0143985601439856,0.0094990500949905,0.0198019801980198,0.0198019801980198,-9.49211391166827,-9.17909398634148,-9.46698304083835,-9.95399738998322,-9.04961888419652
RPL24,essential,no,yes,no,no,no,yes,yes,no,no,-8.94524536924704,-9.8364195567778,-1.73284258239888,-1.22311879182251,0.0001999800019998,0.0001999800019998,0.0123987601239876,0.0045995400459954,0.0198019801980198,0.00990099009900991,-8.74339687995352,-8.62052334060032,-8.59424651073788,-8.5466496196655,-8.64664247997291
RPL26,essential,no,yes,no,no,yes,yes,no,no,no,-9.64244113833299,-8.77352535071177,-1.73832316965293,-0.624320821647959,9.99900009999e-05,0.0077992200779922,0.0178982101789821,0.0288971102889711,0.0198019801980198,0.0495049504950496,-9.18982369971847,-8.93964377672659,-8.84997961002914,-8.5791079484418,-8.48804269571167
RPL27,essential,no,yes,no,no,yes,yes,yes,no,no,-11.3067729978745,-12.0627284248938,-2.13977269385238,-1.31780494178363,9.99900009999e-05,9.99900009999e-05,0.002999700029997,0.0022997700229977,0,0,-9.90002561928424,-9.90723778879182,-10.8233740404818,-10.3269729948965,-10.368386649752
RPL27A,essential,no,yes,no,no,yes,no,yes,no,no,-10.3623113890337,-9.13259958375473,-1.97372363957511,-0.797336311912941,9.99900009999e-05,0.0028997100289971,0.0070992900709929,0.0168983101689831,0,0.00990099009900991,-10.2110472133297,-9.59274842153746,-9.73895883187055,-9.54459991345733,-8.27936168237812
RPL3,essential,no,yes,no,no,yes,yes,yes,no,no,-11.9488650076342,-10.7675440780871,-1.97169798861115,-1.02442033415147,9.99900009999e-05,0.0003999600039996,0.0065993400659934,0.0108989101089891,0,0,-11.1279443232164,-10.6271184414772,-11.7671231448393,-10.5325186014395,-9.44231267565104
RPL30,essential,no,yes,no,no,yes,yes,yes,no,no,-8.70666600980299,-8.26869166880191,-1.43205012051391,-0.429128778773584,0.0010998900109989,0.0160983901609839,0.0240975902409759,0.0482951704829517,0.00990099009900991,0.0594059405940595,-8.61119994773787,-8.59374321291702,-8.75741692419014,-8.75624959464313,-8.42205734528867
RPL31,essential,no,yes,no,no,yes,yes,no,no,no,-11.3247915033772,-9.8528444364452,-2.36004680136623,-1.14759751817403,9.99900009999e-05,0.0002999700029997,0.0015998400159984,0.0052994700529947,0,0,-12.3994930664508,-11.9741920894438,-11.9406919105237,-11.5660984198368,-11.4866328345377
RPL32,essential,no,yes,no,no,yes,yes,no,no,no,-9.38722777731804,-8.85394691802234,-2.07000419894584,-1.02506384896039,9.99900009999e-05,0.0006999300069993,0.0038996100389961,0.0090990900909909,0,0.00990099009900991,-9.63041344375791,-9.25806588679183,-9.03435055107259,-9.13391558682089,-8.79183883418258
RPL34,essential,no,yes,no,no,yes,yes,no,no,no,,-9.46629381511494,,-1.03880309975191,,0.0008999100089991,,0.0090990900909909,,0.0198019801980198,,,,,
