gene,label,pos_ctrl_proteasome,pos_ctrl_ribosome,pos_ctrl_DNA_replication,pos_ctrl_spliceosome,pos_ctrl_behan_2019,pos_ctrl_bagel_v1,pos_ctrl_bagel_v2,neg_ctrl_not_expressed,neg_ctrl_found_context_specific,PRODE_NIE_sgRNA,PRODE_NIE_shRNA,avg_Gene_Effect_sgRNA,avg_Gene_Effect_shRNA,MUFFINN_sum_sgRNA,MUFFINN_sum_shRNA,MUFFINN_max_sgRNA,MUFFINN_max_shRNA,RWR_sgRNA,RWR_shRNA,NIE000,NIE200,NIE400,NIE700,NIE900
RPL35,essential,no,yes,no,no,yes,yes,yes,no,no,-9.22525028999088,-10.1894759214145,-1.66809283371551,-1.17546085443904,9.99900009999e-05,9.99900009999e-05,0.0168983101689831,0.0047995200479952,0,0,-9.29090356435232,-9.31974566802005,-9.42076077040286,-9.09525772334675,-8.54010695059291
RPL36,essential,no,yes,no,no,yes,yes,yes,no,no,-8.67861670599309,-9.10169878451829,-1.86420062298704,-1.06766156517522,0.0002999700029997,0.0010998900109989,0.0095990400959904,0.0074992500749925,0,0.00990099009900991,-8.78927295792903,-8.73825918250854,-8.67412490489193,-8.76681480263576,-8.22359545653423
RPL36A,essential,no,yes,no,no,yes,no,no,no,no,-7.0042736407351,-4.42301423388858,-0.984025212178507,0.0135460312048643,0.0170982901709829,0.0686931306869313,0.0498950104989501,0.717628237176282,0.0396039603960396,0.227722772277228,-6.31176388589175,-6.41498159184995,-6.9055757613086,-6.91953935123149,-6.74963655663198
RPL37,essential,no,yes,no,no,no,yes,no,no,no,-8.25009402552493,-8.58084100688227,-1.4162271964362,-0.887461886802077,0.0033996600339966,0.0038996100389961,0.0255974402559744,0.0155984401559844,0.00990099009900991,0.0198019801980198,-7.92021846846934,-8.44086753432938,-9.47052511877014,-8.95419434606832,-8.5128148083049
RPL39,essential,no,yes,no,no,no,no,no,no,no,,-6.9761225637133,,-0.334513115765082,,0.0282971702829717,,0.0673932606739326,,0.0396039603960396,,,,,
RPL4,essential,no,yes,no,no,yes,yes,yes,no,no,-15.4011175600966,-12.8327785931226,-2.45579727277994,-1.20708201645546,9.99900009999e-05,9.99900009999e-05,0.0013998600139986,0.0041995800419958,0,0,-13.2295685007269,-14.1046089594484,-15.1511851760055,-12.3761276262096,-11.6655508306686
RPL5,essential,no,yes,no,no,yes,yes,no,no,no,-11.5826206126793,-13.1341378908818,-2.21850716276641,-1.44035274452589,9.99900009999e-05,9.99900009999e-05,0.0052994700529947,0.0006999300069993,0,0,-9.46720626985315,-9.56943214528084,-9.7927138866377,-9.90691119216473,-8.75455978556966
RPL6,essential,no,yes,no,no,yes,yes,yes,no,no,-10.5648356531452,-10.6804333419638,-1.90984092659204,-1.06305252944049,9.99900009999e-05,0.0001999800019998,0.0101989801019898,0.0080991900809919,0,0,-9.67309012590139,-10.1297989659215,-10.9150104183442,-9.63139585847283,-9.20459540170307
RPL7,essential,no,yes,no,no,yes,yes,no,no,no,-11.4121335135324,-14.590636510675,-1.75639852895506,-1.50062838133824,9.99900009999e-05,9.99900009999e-05,0.0143985601439856,0.0003999600039996,0,0,-10.518328946578,-10.2142182541474,-11.058270206593,-9.3404352679345,-8.75832195570597
RPL7A,essential,no,yes,no,no,no,yes,no,no,no,,-12.9757588749451,,-1.15016864014289,,9.99900009999e-05,,0.0048995100489951,,0,,,,,
RPL8,essential,no,yes,no,no,yes,no,yes,no,no,-12.0005155937542,-8.73530413789157,-2.34499709907591,-0.676220293966478,9.99900009999e-05,0.0067993200679932,0.0005999400059994,0.025997400259974,0,0,-8.96873892598887,-10.551119767444,-11.1111459586409,-10.5954179931682,-9.90236231842854
RPL9,essential,no,yes,no,no,no,no,no,no,no,,-10.1304920967371,,-0.978038355011638,,0.0004999500049995,,0.0114988501149885,,0,,,,,
RPS10,essential,no,yes,no,no,no,no,no,no,no,-8.55275217445055,-9.3470633621846,-1.42119340023861,-0.992940666597422,0.0026997300269973,0.0007999200079992,0.0292970702929707,0.0094990500949905,0.00990099009900991,0.00990099009900991,-10.4414755919511,-9.98679204104116,-9.30639929388606,-9.46736677040371,-9.99935458441585
RPS11,essential,no,yes,no,no,yes,yes,yes,no,no,-11.4403043904991,-10.5829728015591,-2.21854717405776,-1.12527574636601,9.99900009999e-05,9.99900009999e-05,0.0024997500249975,0.0062993700629937,0,0,-10.4307639363562,-10.8221951137762,-11.7218169173766,-12.2048559056023,-11.2055975372763
