gene,label,pos_ctrl_proteasome,pos_ctrl_ribosome,pos_ctrl_DNA_replication,pos_ctrl_spliceosome,pos_ctrl_behan_2019,pos_ctrl_bagel_v1,pos_ctrl_bagel_v2,neg_ctrl_not_expressed,neg_ctrl_found_context_specific,PRODE_NIE_sgRNA,PRODE_NIE_shRNA,avg_Gene_Effect_sgRNA,avg_Gene_Effect_shRNA,MUFFINN_sum_sgRNA,MUFFINN_sum_shRNA,MUFFINN_max_sgRNA,MUFFINN_max_shRNA,RWR_sgRNA,RWR_shRNA,NIE000,NIE200,NIE400,NIE700,NIE900
PLK1,essential,no,no,no,no,yes,no,yes,no,no,-9.86462729369087,-7.67588756268924,-2.30145155830117,-0.927493710688528,9.99900009999e-05,0.0010998900109989,0.0024997500249975,0.0097990200979902,0,0.00990099009900991,-6.83212653479938,-7.18817578962495,-7.90526352690228,-8.24543226059124,-7.65598348647507
PMF1-BGLAP,essential,no,no,no,no,yes,no,no,no,no,,-4.15539967791073,,-0.232755454207944,,0.087991200879912,,0.231876812318768,,0.118811881188119,,,,,
POLR1B,essential,no,no,no,no,yes,yes,yes,no,no,-8.42250448301804,-8.28835059071999,-1.26547513026361,-1.00048376863806,0.0025997400259974,0.0014998500149985,0.0320967903209679,0.0101989801019898,0.0297029702970297,0,-6.89866385768208,-7.21634162310417,-7.19161336751199,-6.78489711441393,-5.83390954098546
POLR2A,essential,no,no,no,no,yes,no,yes,no,no,,-11.0761104437058,,-1.18412043419792,,9.99900009999e-05,,0.0030996900309969,,0,,,,,
POLR2B,essential,no,no,no,no,yes,no,yes,no,no,-13.3172216680674,-11.4031575398674,-2.12296616990842,-0.926678400345411,9.99900009999e-05,9.99900009999e-05,0.0038996100389961,0.0104989501049895,0,0,-9.75941350601071,-9.64570731990214,-9.97167410459048,-8.9530702142138,-8.44593673343092
POLR2C,essential,no,no,no,no,yes,no,yes,no,no,-11.9869099416985,-9.22186068047838,-2.12308139063867,-0.668496538963845,9.99900009999e-05,0.0028997100289971,0.0043995600439956,0.0196980301969803,0,0,-6.15825920533656,-6.33876469555485,-6.92896737322154,-6.60020538378583,-6.1683562777498
POLR2D,essential,no,no,no,no,yes,yes,yes,no,no,-9.44949892153585,-8.72216171247806,-1.84995926193635,-1.03625044403125,9.99900009999e-05,0.0005999400059994,0.0102989701029897,0.0076992300769923,0,0,-7.49189842453155,-7.500955250769,-8.1321454003271,-8.04398550771197,-7.7246269926388
POLR2E,essential,no,no,no,no,yes,no,yes,no,no,-11.5366354994375,-10.6866456769441,-1.89596693250889,-1.19505923089897,9.99900009999e-05,9.99900009999e-05,0.0097990200979902,0.0026997300269973,0,0,-6.48144780045281,-6.58033505604348,-6.85118318164368,-6.55763420233293,-6.0933645880336
POLR2F,essential,no,no,no,no,yes,yes,no,no,no,-11.3505756205329,-9.19017287955304,-1.85567685413404,-0.840608325713859,9.99900009999e-05,0.0007999200079992,0.0134986501349865,0.0153984601539846,0.00990099009900991,0,-5.97732500841546,-6.11384333222377,-6.37198697543374,-6.40518876526442,-5.82876820909041
POLR2G,essential,no,no,no,no,yes,no,yes,no,no,-9.22721985527946,-7.29709948526601,-1.65314527533892,-0.578033717167283,9.99900009999e-05,0.0105989401059894,0.0181981801819818,0.0312968703129687,0,0.0198019801980198,-5.57456786457957,-5.35993835574491,-5.68086247497849,-5.7518651292388,-5.49758483981619
