GeneA	GeneB	label	PRODE_NICE	Diff_Gene_Eff	source	context_status
CDH1	PSMC6	SL	-1.0023543290578	0.760175684493958	Isogenic Screens	LOF
CDH1	RPL13	SL	-1.82980452015878	-0.0085319806836927	Isogenic Screens	LOF
CDH1	RPS15A	SL	-1.82564670506441	-0.0401351626077415	Isogenic Screens	LOF
CDH1	TUBB	SL	-1.22100293676999	-0.459535244679507	Isogenic Screens	LOF
CDH1	XPO1	SL	-1.47900498583588	0.17008075208562	Isogenic Screens	LOF
KEAP1	CDK1	SL	-0.89507213832458	-0.627847939481731	Isogenic Screens	LOF
KEAP1	LSM2	SL	-0.587601751815788	-0.401473812761772	Isogenic Screens	LOF
KEAP1	MASTL	SL	-1.14715671662884	-0.266478375546659	Isogenic Screens	LOF
KEAP1	MED14	SL	-0.665556057771141	0.181912582406395	Isogenic Screens	LOF
KEAP1	MED30	SL	-2.37810924117401	-2.29913446837078	Isogenic Screens	LOF
KEAP1	PSMC6	SL	-1.15890388447775	0.536747137109377	Isogenic Screens	LOF
KEAP1	RPL31	SL	-1.05157488407126	-0.58902980955617	Isogenic Screens	LOF
KEAP1	TMCO6	SL	-0.540494377497024	1.09933545846051	Isogenic Screens	LOF
KEAP1	TRAIP	SL	-0.527147746547461	1.22948735555299	Isogenic Screens	LOF
KEAP1	UTP3	SL	-0.706357351943811	-0.00502537595150141	Isogenic Screens	LOF
MCL1	ADSL	SL	-0.124633951317473	0.90701187428101	Isogenic Screens	LOF
MCL1	BCL2L1	SL	-0.459254616610567	0.310888391056508	Isogenic Screens	LOF
MCL1	BIRC5	SL	-1.25447288435415	-1.3777752239553	Isogenic Screens	LOF
MCL1	FBXW7	SL	-0.00941479195910557	2.60705974952808	Isogenic Screens	LOF
MCL1	NRF1	SL	-0.246192250389377	0.627988431925682	Isogenic Screens	LOF
MCL1	POLQ	SL	-0.613404991444386	-0.449850990876867	Isogenic Screens	LOF
MCL1	RPL10	SL	-0.947952785594215	-1.02945949269291	Isogenic Screens	LOF
MCL1	UBE2S	SL	-0.104755123879776	0.887237827810259	Isogenic Screens	LOF
MCL1	WSB2	SL	-0.0952755197196764	0.849922683567374	Isogenic Screens	LOF
NF1	DDX51	SL	-1.8958281681247	-0.433111588255337	Isogenic Screens	LOF
NF1	NOP58	SL	-1.82928774186891	0.551682408833275	Isogenic Screens	LOF
NF1	PLK1	SL	-2.46331330738702	0.172039744553474	Isogenic Screens	LOF
NF1	POLR1B	SL	-2.06356140910966	-0.857914943829145	Isogenic Screens	LOF
NF1	POLR2L	SL	-2.24195496164829	-0.324296028337941	Isogenic Screens	LOF
