gene	Estimate	Std..Error	t.value	Pr...t..	ctrl_mean	case_mean	ctrl_sd	case_sd	ctrl_n	case_n	rra_score	rra_p	rra_fdr	u_gene	u_neig	NICE_score
WDR61	0.256514072061183	0.110329824720613	2.32497488970684	0.0288539186159667	-0.809301838834142	-0.587715018395626	0.241866997701247	0.262761357969124	22	8	0.0238451457728635	0.324164580486351	0.74791835753199	0.965468968735418	0.433411105926272	-0.871209882817929
WDR62	0.123879550186355	0.0581221485477455	2.1313656373971	0.0435003525140446	-0.154442940238421	-0.0301639654572346	0.146892249404518	0.107724472797571	22	8	0.00365212327680024	0.0630987829074101	0.336369880026318	0.952496500233318	0.187587494167056	-1.72217875313832
WDR7	0.287801920902099	0.163296307267584	1.76245210756968	0.090725736946355	-0.785210130413436	-0.428674818075826	0.439006904995906	0.172153168325091	22	8	0.0382788839556201	0.303677433809251	0.730393648320117	0.916752216518899	0.415772281847877	-0.964535622235575
WDR70	-0.0454729709539773	0.0898858234257166	-0.505897028262271	0.617544287443091	-2.03513906929845	-2.07676624984171	0.188242625935145	0.209251363132707	22	8	0.0600794140294498	0.359549179662813	0.774815361196515	0.317498833411106	0.46392907139524	-1.91530473676488
WDR73	0.170632312746229	0.148546097000305	1.14868257188796	0.262007007535032	-0.538877358224677	-0.383607870324654	0.351475492482262	0.209354435211136	22	8	0.00658241539957403	0.0872760940247985	0.405909450918783	0.806532897806813	0.214839010732618	-1.75287691004165
WDR74	0.286666417299426	0.127831705179182	2.24252987079853	0.0344315924757474	-1.77859973686994	-1.42905409273286	0.312836002474212	0.301899435991904	22	8	0.578576887060167	0.996313625782781	0.999711429236435	0.959682687820812	0.987960802613159	-0.0532648381682314
WDR75	0.103266635530728	0.102991283161681	1.00267355023254	0.326021226312452	-1.22647514243328	-1.2757410876829	0.235875889920855	0.460781047378758	22	8	0.692787119458676	0.998746165927968	0.999711429236435	0.775828278114792	0.994680354643024	-0.259157919427539
WDR76	-0.0458200939376718	0.0392330251461522	-1.16789602043129	0.254320422406281	-0.220028150339612	-0.265682894093748	0.0901510311847917	0.0658124007090143	22	8	0.20223716360162	0.799907919060468	0.999711429236435	0.165375641623892	0.794400373308446	-2.0297034730689
WDR77	0.331290054462729	0.175540014249324	1.88726231953125	0.0712774257161888	-1.45359214405163	-1.12822293972062	0.408373229146402	0.24406001441009	22	8	1.60483649977508e-06	0.000130007329703729	0.00461267727740217	0.929818012132525	0.0281847876808213	-3.64173928839563
WDR82	0.0543013959377636	0.181260025561513	0.299577337968187	0.767078718233839	-1.34554195462611	-1.36562307557687	0.440333771222511	0.380182317249261	22	8	6.93441396515974e-05	0.00293853328557892	0.0465086915140002	0.563882407839477	0.0631824545030331	-3.33463818095646
