GeneA	GeneB	label	PRODE_NICE	Diff_Gene_Eff	source	context_status
BCL2L2	PARP2	SL	-0.340189971673814	0.307706859905101	Double KO screens	LOF
BIRC5	CAMK2G	SL	-0.365062436260022	1.56326473879219	Double KO screens	LOF
BIRC5	CD22	SL	-0.438502746056223	0.399353572186126	Double KO screens	LOF
BIRC5	CDC25A	SL	-1.16471240992108	0.142856150315946	Double KO screens	LOF
BIRC5	DCXR	SL	-0.645938861153882	-0.336693350650415	Double KO screens	LOF
BIRC5	DNMT1	SL	-1.05147813207806	0.033477346347084	Double KO screens	LOF
BIRC5	ERBB2	SL	-0.788389827604675	-0.302466172662496	Double KO screens	LOF
BIRC5	HMGCR	SL	-0.462728945291009	0.394555142108603	Double KO screens	LOF
BIRC5	MAP3K3	SL	-0.61824827998124	-0.139590382971743	Double KO screens	LOF
BIRC5	PDK2	SL	-0.43360334797402	1.11385390669278	Double KO screens	LOF
BIRC5	PNMT	SL	-0.282422449099435	0.419340681062086	Double KO screens	LOF
BIRC5	PRKCA	SL	-0.677291002558155	-0.401115042677731	Double KO screens	LOF
BIRC5	XPO1	SL	-1.46042379667389	-0.747866109153329	Double KO screens	LOF
BOD1L1	HUS1	SL	-0.793239291866632	0.765908284159462	Double KO screens	LOF
BOD1L1	NDUFB1	SL	-1.80244321809896	-0.0831683400075017	Double KO screens	LOF
BOD1L1	NUDC	SL	-1.20648582575785	-0.541798860567441	Double KO screens	LOF
BOD1L1	WDR61	SL	-0.49441075548116	1.23554577693549	Double KO screens	LOF
BRAF	BRCA2	SL	-0.65034676623879	0.0834775142647264	Double KO screens	LOF
BRAF	EGFR	SL	-0.413345807356757	0.540444902603848	Double KO screens	LOF
BRAF	FGFR2	SL	-0.229013224983231	1.49076378925598	Double KO screens	LOF
BRAF	FNTA	SL	-0.770760083702244	-0.58403793569239	Double KO screens	LOF
BRAF	HDAC2	SL	-0.615778147355761	0.222235455159677	Double KO screens	LOF
BRAF	PIK3CA	SL	-0.458255578666006	-0.124899007650281	Double KO screens	LOF
BRAF	VHL	SL	-0.488162507089909	-0.225092883334587	Double KO screens	LOF
BRCA2	CDK9	SL	-1.80219953123998	-0.785091826259244	Double KO screens	LOF
BRCA2	EEF2	SL	-1.5600561445656	-0.294176448874207	Double KO screens	LOF
BRCA2	HDAC6	SL	-1.31102384322307	0.28201140628529	Double KO screens	LOF
BRCA2	KDM5C	SL	-1.46969138140776	-0.235993246030243	Double KO screens	LOF
BRCA2	MAP2K2	SL	-0.60969400976493	-0.211904330672109	Double KO screens	LOF
BRCA2	MAPK1	SL	-0.63949847075687	0.829046599011067	Double KO screens	LOF
BRCA2	NPR2	SL	-0.520457325860767	0.470346339825868	Double KO screens	LOF
BRCA2	PARP1	SL	-1.25715688119153	-0.121881922417916	Double KO screens	LOF
BRCA2	PARP2	SL	-1.14107018168254	0.540875287384187	Double KO screens	LOF
